1000	0.077490	0.000000
2000	0.054211	0.004935
3000	0.044844	0.003290
4000	0.038881	0.002467
5000	0.032678	0.005922
6000	0.030727	0.004935
7000	0.028842	0.004230
8000	0.026460	0.001234
9000	0.025504	0.004386
10000	0.023944	0.001974
11000	0.023001	0.001794
12000	0.021890	0.001645
13000	0.020971	0.002278
14000	0.020814	0.003525
15000	0.019847	0.001316
16000	0.019097	0.002467
17000	0.018693	0.001742
18000	0.018121	0.002193
19000	0.017731	0.002597
20000	0.016849	0.001480
21000	0.016847	0.000940
22000	0.016200	0.001346
23000	0.016339	0.001287
24000	0.015961	0.000822
25000	0.015291	0.000790
26000	0.014838	0.000380
27000	0.014839	0.000366
28000	0.014637	0.000352
29000	0.014291	0.000340
30000	0.014007	0.000000
31000	0.013746	0.000318
32000	0.013668	0.000000
33000	0.013341	0.000897
34000	0.013041	0.000871
35000	0.013056	0.000564
36000	0.013085	0.000000
37000	0.012585	0.000000
38000	0.012244	0.000779
39000	0.012522	0.000000
40000	0.012148	0.000493
41000	0.011853	0.000000
42000	0.011840	0.000235
43000	0.011578	0.000230
44000	0.011738	0.000449
45000	0.011326	0.000219
46000	0.011297	0.000429
47000	0.011173	0.000210
48000	0.011032	0.000617
49000	0.011062	0.000403
50000	0.010856	0.000197
51000	0.010701	0.000194
52000	0.010607	0.000190
53000	0.010403	0.000186
54000	0.010444	0.000183
55000	0.010295	0.000359
56000	0.010210	0.000176
57000	0.010196	0.000000
58000	0.009952	0.000340
59000	0.010004	0.000669
60000	0.009853	0.000493
61000	0.009663	0.000324
62000	0.009725	0.000318
63000	0.009625	0.000313
64000	0.009572	0.000154
65000	0.009508	0.000000
66000	0.009417	0.000299
67000	0.009337	0.000147
68000	0.009257	0.000435
69000	0.009208	0.000286
70000	0.009084	0.000564
71000	0.009033	0.000417
72000	0.009060	0.000274
73000	0.008958	0.000406
74000	0.008905	0.000800
75000	0.008787	0.001053
76000	0.008728	0.000909
77000	0.008745	0.000641
78000	0.008710	0.000633
79000	0.008629	0.000500
80000	0.008571	0.000123
81000	0.008577	0.000000
82000	0.008462	0.000241
83000	0.008494	0.000119
84000	0.008292	0.000235
85000	0.008305	0.000348
86000	0.008307	0.000000
87000	0.008256	0.000113
88000	0.008246	0.000112
89000	0.008168	0.000000
90000	0.008098	0.000110
91000	0.008053	0.000217
92000	0.008022	0.000215
93000	0.008000	0.000000
94000	0.007875	0.000210
95000	0.007808	0.000623
96000	0.007797	0.000308
97000	0.007806	0.000305
98000	0.007693	0.000101
99000	0.007775	0.000299
